W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
1468,"На скале близ Дьепа, пасмурное небо","On the Cliff near Dieppe, Overcast Skies","Sur la Falaise près Dieppe, ciel nuageux",1897,65 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1468.webp,https://commons.wikimedia.org/wiki/File:Monet_w1468.jpg,,https://monet.1vasiliadi.com/#w1468
1469,"Близ Дьепа, отражения на море","Near Dieppe, Reflections on the Sea","Près Dieppe, reflets sur la mer",1897,65 × 92,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1469.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1469.png,,https://monet.1vasiliadi.com/#w1469
1470,На скале близ Дьепа,On the Cliff near Dieppe,Sur la Falaise de Dieppe,1897,65 × 92,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1470.webp,https://commons.wikimedia.org/wiki/File:Sur_la_falaise_de_Dieppe.jpg,,https://monet.1vasiliadi.com/#w1470
1471,Скала близ Дьепа,Cliff near Dieppe,Falaise près Dieppe,1897,65 × 100,частная коллекция,,,,,2020,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1471.webp,https://commons.wikimedia.org/wiki/File:5292928934_7f6c1bf648_o_w1471.jpg,,https://monet.1vasiliadi.com/#w1471
1472,Утро на Сене,Morning on the Seine,,1897,73 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1472.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1472.png,,https://monet.1vasiliadi.com/#w1472
1473,"Утро на Сене, эффект тумана","Morning on the Seine, Effect of Mist",,1897,65 × 92,музей,"Художественный музей Северной Каролины, Роли","North Carolina Museum of Art, Raleigh",США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1473.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1473.jpg,,https://monet.1vasiliadi.com/#w1473
1474,Рукав Сены близ Живерни в тумане,Arm of the Seine near Giverny in the Fog,"Bras de la Seine à Giverny, brumes matinales",1897,89 × 92,музей,"Художественный музей Северной Каролины, Роли","North Carolina Museum of Art, Raleigh",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1474.webp,https://commons.wikimedia.org/wiki/File:Monet_-_The_Seine_at_Giverny%2C_Morning_Mists%2C_1897.jpg,https://www.wikidata.org/wiki/Q75868689,https://monet.1vasiliadi.com/#w1474
1475,Утро на Сене,Morning on the Seine,,1897,87.6 × 89.5,музей,Чикагский институт искусств,Art Institute of Chicago,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1475.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Branch_of_the_Seine_near_Giverny_(Mist)%2C_from_the_series_%E2%80%9CMornings_on_the_Seine%E2%80%9D%2C_1897.jpg,https://www.wikidata.org/wiki/Q20269967,https://monet.1vasiliadi.com/#w1475
1476,Рукав Сены близ Живерни в тумане,Arm of the Seine near Giverny in the Fog,"Bras de Seine près de Giverny, brouillard",1897,89 × 92,музей,"Музей Кригера, Вашингтон","Kreeger Museum, Washington D.C.",США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1476.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1476.png,https://www.wikidata.org/wiki/Q68041452,https://monet.1vasiliadi.com/#w1476
1477,Утро на Сене,Morning on the Seine,Matinée sur la Seine,1897,81 × 92,музей,"Художественный музей Мида, Амхерст","Mead Art Museum, Amherst",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1477.webp,https://commons.wikimedia.org/wiki/File:Morning_on_the_Seine%2C_Giverny_-Matin%C3%A9e_sur_la_Seine-_1966-48.jpg,https://www.wikidata.org/wiki/Q83901296,https://monet.1vasiliadi.com/#w1477
1478,Рукав Сены близ Живерни на восходе солнца,Arm of the Seine near Giverny at Sunrise,"Bras de Seine près de Giverny, soleil levant",1897,89 × 92,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1478.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Bras_de_Seine_pr%C3%A8s_de_Giverny%2C_soleil_levant_-_Mus%C3%A9e_Marmottan-Monet.jpg,https://www.wikidata.org/wiki/Q63952024,https://monet.1vasiliadi.com/#w1478
1479,Рукав Сены в Живерни на рассвете,Arm of the Seine at Giverny at Dawn,Matinée sur la Seine,1897,81 × 92,музей,Художественный музей Хиросимы,Hiroshima Museum of Art,Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1479.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Matin%C3%A9e_sur_la_Seine%2C_1897.jpg,https://www.wikidata.org/wiki/Q83179679,https://monet.1vasiliadi.com/#w1479
1480,"Утро на Сене, ясная погода","Morning on the Seine, Clear Weather",,1897,81 × 82,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1480.webp,https://commons.wikimedia.org/wiki/File:Monet_w1480.jpg,,https://monet.1vasiliadi.com/#w1480
1481,Утро на Сене близ Живерни,Morning on the Seine near Giverny,Bras de Seine près de Giverny.,1897,81 × 92,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1481.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Morning_on_the_Seine%2C_near_Giverny%2C_1897.jpg,https://www.wikidata.org/wiki/Q20538935,https://monet.1vasiliadi.com/#w1481
1482,Утро на Сене близ Живерни,Morning on the Seine near Giverny,,1896,81 × 92,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1482.webp,https://commons.wikimedia.org/wiki/File:Morning_on_the_Seine_near_Giverny_MET_DT1903.jpg,https://www.wikidata.org/wiki/Q19912384,https://monet.1vasiliadi.com/#w1482
1483,Утро на Сене близ Живерни,"Morning on the Seine, near Giverny",,1897,73 × 92,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1483.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1483.jpg,,https://monet.1vasiliadi.com/#w1483
1484,Утро на Сене,Morning on the Seine,Matinée sur la Seine,1897,89 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1484.webp,https://commons.wikimedia.org/wiki/File:Monet_w1484.jpg,https://www.wikidata.org/wiki/Q91666882,https://monet.1vasiliadi.com/#w1484
1485,Утро на Сене,Morning on the Seine,"Matin sur la Seine, beau temps",1897,89 × 92,музей,"Историческая ассоциация Белого дома, Вашингтон","White House Historical Association, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1485.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Matin_sur_la_Seine%2C_le_beau_temps_(1897).jpg,https://www.wikidata.org/wiki/Q108343702,https://monet.1vasiliadi.com/#w1485
1486,Утро на Сене,Morning on the Seine,,1897,89 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1486.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1486.png,,https://monet.1vasiliadi.com/#w1486
1487,Рукав Сены близ Живерни,Arm of the Seine near Giverny,Bras de Seine près de Giverny,1897,75 × 92.5,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1487.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Seine-Arm_bei_Giverny.jpg,https://www.wikidata.org/wiki/Q3821170,https://monet.1vasiliadi.com/#w1487
1488,Утро на Сене,Morning on the Seine,,1897,72 × 89.5,частная коллекция,,,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1488.webp,https://commons.wikimedia.org/wiki/File:4711798287_9f1438dfec_o_w1488.jpg,,https://monet.1vasiliadi.com/#w1488
1489,"Крапивный остров, Живерни","L'île aux Orties, Giverny","L'Île aux Orties, Giverny",1897,71 × 89,музей,"Художественный музей Колумбии, Колумбия","Columbia Museum of Art, Columbia",США,United States,,нет,,,https://www.wikidata.org/wiki/Q85039819,https://monet.1vasiliadi.com/#w1489
1490,"Крапивный остров, Живерни","L'île aux Orties, Giverny",L'Île aux Orties,1897,73 × 92,частная коллекция,,,США,United States,2013,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1490.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_L'Ile_aux_Orties.jpg,https://www.wikidata.org/wiki/Q50377227,https://monet.1vasiliadi.com/#w1490
1491,Крапивный остров близ Вернона,"L'île aux Orties, Near Vernon","Près de Vernon, l'île aux Orties",1897,73 × 92,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1491.webp,https://commons.wikimedia.org/wiki/File:%C3%8Ele_aux_Orties_near_Vernon_MET_DT302452.jpg,https://www.wikidata.org/wiki/Q19914264,https://monet.1vasiliadi.com/#w1491
1492,"Берега Сены, утро","Banks of the Seine, Morning","Bords de la Seine, matin",1897,73 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1492.webp,https://commons.wikimedia.org/wiki/File:Monet_w1492.jpg,,https://monet.1vasiliadi.com/#w1492
1493,Островки в Пор-Вилле,The Islets at Port-Villez,Les Ilots à Port-Villez,1897,81 × 100,музей,"Бруклинский музей, Нью-Йорк","Brooklyn Museum, New York",США,United States,Sotheby's 2020,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1493.webp,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Islets_at_Port-Villez_(Les_Iles_%C3%A0_Port-Villez)_-_Claude_Monet.jpg,https://www.wikidata.org/wiki/Q49447224,https://monet.1vasiliadi.com/#w1493
1494,Сена в Живерни,The Seine at Giverny,La Seine près de Giverny,1897,81 × 100,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1494.webp,https://www.nga.gov/collection/art-object-page.74796.html,https://www.wikidata.org/wiki/Q20190589,https://monet.1vasiliadi.com/#w1494
1495,Хризантемы,Chrysanthemums,Chrysanthèmes||1897,1897,79 × 119,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1495.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1495.jpg,,https://monet.1vasiliadi.com/#w1495
1496,Хризантемы,Chrysanthemums,Massif de chrysanthèmes,1897,81 × 100,музей,Художественный музей Базеля,Basel Kunstmuseum,Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1496.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Massif_de_chrysanth%C3%A8mes%2C_1897.jpg,https://www.wikidata.org/wiki/Q94636841,https://monet.1vasiliadi.com/#w1496
1497,Хризантемы,Chrysanthemums,Massif de chrysanthèmes||1897,1897,130 × 89,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1497.webp,https://commons.wikimedia.org/wiki/File:Massif_de_chrysanth%C3%A8mes_(1897)_Claude_Monet_(W1497).jpg,,https://monet.1vasiliadi.com/#w1497
1498,Клумба хризантем,Bed of Chrysanthemums,Chrysanthèmes,1897,130 × 89,частная коллекция,,,,,Christie's 2007,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1498.webp,https://commons.wikimedia.org/wiki/File:Monet_w1498.jpg,,https://monet.1vasiliadi.com/#w1498
1499,Утро на Сене в дождь,Morning on the Seine in the Rain,"Matinée sur la Seine, temps de pluie",1897–98,73 × 92,музей,"Национальный музей западного искусства, Токио","National Museum of Western Art, Tokyo",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1499.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Morning_on_the_Seine_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q19200679,https://monet.1vasiliadi.com/#w1499
1500,Ивы,Willows,,1897,71 × 89.5,музей,"Национальный музей западного искусства, Токио","National Museum of Western Art, Tokyo",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1500.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1500.png,,https://monet.1vasiliadi.com/#w1500
1501,Кувшинки,Water Lilies,Nymphéas,1897–1898,65 × 100,музей,Музей искусств округа Лос-Анджелес,Los Angeles County Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1501.webp,https://commons.wikimedia.org/wiki/File:Monet_Water_Lilies_painting_(31843648457).jpg,https://www.wikidata.org/wiki/Q20881317,https://monet.1vasiliadi.com/#w1501
1502,Кувшинки,Water Lilies,Nymphéas,1897–1898,73 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1502.webp,https://commons.wikimedia.org/wiki/File:Monet_w1502.jpg,,https://monet.1vasiliadi.com/#w1502
1503,Кувшинки,Water Lilies,Nymphéas,1897–1898,100 × 100,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1503.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1503.png,,https://monet.1vasiliadi.com/#w1503
1504,Кувшинки. Вечерний эффект,Water Lilies – Evening Effect,"Nymphéas, effet du soir",1897–1898,73 × 100,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1504.webp,https://commons.wikimedia.org/wiki/File:%22Nymph%C3%A9as.Effet_du_soir%22_de_Claude_Monet_(Mus%C3%A9e_Marmottan_Monet%2C_Paris)_-_Flickr_-_dalbera.jpg,https://www.wikidata.org/wiki/Q63952027,https://monet.1vasiliadi.com/#w1504
1505,Кувшинки,Water Lilies,Nymphéas,1897–1898,75 × 100,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1505.webp,https://commons.wikimedia.org/wiki/File:Monet_w1505.jpg,,https://monet.1vasiliadi.com/#w1505
1506,Кувшинки,Water-Lilies,Nymphéas,1897–1899,89 × 130,музей,Городской художественный музей Кагосимы,Kagoshima City Museum of Art,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1506.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1506.jpg,https://www.wikidata.org/wiki/Q96198879,https://monet.1vasiliadi.com/#w1506
1507,Кувшинки,Water Lilies,Nymphéas,1897–1899,81 × 100,музей,"Национальная галерея современного искусства, Рим","Galleria Nazionale d'Arte Moderna, Rome",Италия,Italy,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1507.webp,https://commons.wikimedia.org/wiki/File:Ninfee_rosa_by_Claude_Monet%2C_1897-1899_-_Galleria_nazionale_d'arte_moderna_-_Rome%2C_Italy_-_DSC05472.jpg,https://www.wikidata.org/wiki/Q3877094,https://monet.1vasiliadi.com/#w1507
1508,Кувшинки,Water-Lilies,Nymphéas,1897–1899,130 × 152,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1508.webp,https://commons.wikimedia.org/wiki/File:Monet_w1508.jpg,,https://monet.1vasiliadi.com/#w1508
1509,Кувшинки и японский мостик,Water Lilies and Japanese Bridge,Nénuphars et Pont Japonais,1899,90 × 90,музей,Художественный музей Принстонского университета,Princeton University Art Museum,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1509.webp,https://commons.wikimedia.org/wiki/File:The_Water-Lily_Pond_-_Google_Arts_%26_Culture.jpg,https://www.wikidata.org/wiki/Q28777021,https://monet.1vasiliadi.com/#w1509
1510,Пруд с кувшинками,The Water Lily Pond,Le Bassin aux nymphéas,1899,93 × 90,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1510.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1510.png,,https://monet.1vasiliadi.com/#w1510
1511,Пруд с кувшинками,The Water Lily Pond,Le Bassin aux nymphéas,1899,89 × 92,музей,"Художественный музей Пола, Канагава","Pola Museum of Art, Kanagawa",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1511.webp,https://commons.wikimedia.org/wiki/File:Water_Lily_Pond_(1899)_by_Claude_Monet_-_Pola_Museum_of_Art.jpg,https://www.wikidata.org/wiki/Q79790745,https://monet.1vasiliadi.com/#w1511
1512,Японский мостик и пруд с кувшинками,Japanese Bridge and Water Lily Pond,Pont japonais et bassin aux nymphéas dit aussi: Le Bassin aux nymphéas,1899,89 × 93,музей,Художественный музей Филадельфии,Philadelphia Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1512.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_French_-_The_Japanese_Footbridge_and_the_Water_Lily_Pool%2C_Giverny_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q18683923,https://monet.1vasiliadi.com/#w1512
1513,Белые кувшинки,White Water Lilies,Nymphéas blancs,1899,89 × 92,музей,"ГМИИ им. Пушкина, Москва",Pushkin Museum (Moscow),Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1513.webp,https://commons.wikimedia.org/wiki/File:'White_Water_Lilies'_by_Claude_Monet%2C_1899%2C_Pushkin_Museum.JPG,https://www.wikidata.org/wiki/Q3877091,https://monet.1vasiliadi.com/#w1513
1514,Пруд с кувшинками,The Water-Lily Pond,Le Bassin aux nymphéas,1899,89 × 92,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1514.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1514.png,,https://monet.1vasiliadi.com/#w1514
1515,Пруд с кувшинками. Гармония в зелёных тонах,"The Lily Pond, Green Harmony","Le Bassin aux Nymphéas, harmonie verte",1898,89 × 93,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1515.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Water_Lilies_and_Japanese_Bridge.jpg,https://www.wikidata.org/wiki/Q3220338,https://monet.1vasiliadi.com/#w1515
1516,Пруд с кувшинками,The Lily Pond,"Le Bassin aux nymphéas, harmonie verte",1899,88 × 92,музей,"Лондонская национальная галерея, Лондон","National Gallery, London",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1516.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_The_Water-Lily_Pond_(National_Gallery%2C_London).jpg,https://www.wikidata.org/wiki/Q26708368,https://monet.1vasiliadi.com/#w1516
1517,Японский мостик,Japanese Footbridge,Le Pont japonais dit aussi : Le Bassin aux nymphéas,1899,81 × 100,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1517.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_The_Japanese_Footbridge%2C_1899%2C_NGA_74796.jpg,https://www.wikidata.org/wiki/Q12858617,https://monet.1vasiliadi.com/#w1517
1518,Мостик над прудом с кувшинками,Bridge over the Lily Pond,Le Bassin aux nymphéas,1899,93 × 74,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1518.webp,https://commons.wikimedia.org/wiki/File:The_Water-Lily_Pond_1899_Claude_Monet_Metropolitan.jpg,https://www.wikidata.org/wiki/Q19905213,https://monet.1vasiliadi.com/#w1518
1519,Пруд с кувшинками,Water-Lily Pond,Le Bassin aux nymphéas,1899,,утрачена / местонахождение неизвестно,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1519.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1519.png,,https://monet.1vasiliadi.com/#w1519
1520,Мостик над кувшинками,Bridge over the Water-Lilies,Le Pont aux nymphéas,1899,116 × 89,музей,"Музей М. М. Халиля, Каир","MM Khalil Museum, Cairo",Египет,Egypt,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1520.webp,https://commons.wikimedia.org/wiki/File:The_Bridge_over_the_Water-Lily_Pond_(1899)_Claude_Monet_-_Mohamed_Mahmoud_Khalil_Museum_-_Cairo_(W1520).jpg,https://www.wikidata.org/wiki/Q84056394,https://monet.1vasiliadi.com/#w1520
1521,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,Le pont de Charing Cross,1899–1901,65 × 92,музей,"Музей Шелберна, Шелберн","Shelburne Museum, Shelburne",США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1521.webp,https://commons.wikimedia.org/wiki/File:Monet_w1521.jpg,https://www.wikidata.org/wiki/Q98447007,https://monet.1vasiliadi.com/#w1521
1522,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,музей,Художественный музей Санта-Барбары,Santa Barbara Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1522.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing_Cross_Bridge_(W_1522).jpg,https://www.wikidata.org/wiki/Q47781086,https://monet.1vasiliadi.com/#w1522
1523,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 92,музей,"Художественный музей Мураути, Хатиодзи","Murauchi Art Museum, Hachioji",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1523.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1523.jpg,https://www.wikidata.org/wiki/Q96270444,https://monet.1vasiliadi.com/#w1523
1524,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,музей,"Художественный музей Менард, Комаки","Menard Art Museum, Komaki",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1524.webp,https://commons.wikimedia.org/wiki/File:Monet_w1524.jpg,https://www.wikidata.org/wiki/Q67585046,https://monet.1vasiliadi.com/#w1524
1525,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 100,музей,"Национальный музей западного искусства, Токио","National Museum of Western Art, Tokyo",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1525.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing-Cross_Bridge_in_London_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q19186378,https://monet.1vasiliadi.com/#w1525
1526,"Мост Чаринг-Кросс, пасмурный день","Charing Cross Bridge, Overcast Day",,1899–1901,60 × 92,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1526.webp,https://commons.wikimedia.org/wiki/File:4960207242_04ebc9a7d1_o_w1526.jpg,https://www.wikidata.org/wiki/Q20538920,https://monet.1vasiliadi.com/#w1526
1527,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 92,музей,Чикагский институт искусств,Art Institute of Chicago,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1527.webp,https://www.artic.edu/artworks/16544,https://www.wikidata.org/wiki/Q20268079,https://monet.1vasiliadi.com/#w1527
1528,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,частная коллекция,,,,,"Christie's, New York, 1995",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1528.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1528.png,,https://monet.1vasiliadi.com/#w1528
1529,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,65 × 81,музей,"Национальный музей, Кардифф",National Museum Cardiff,Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1529.webp,https://commons.wikimedia.org/wiki/File:Amgueddfa_Cymru_-_Pont_Charing_Cross_-_Charing_Cross_Bridge_-_207385.jpeg,https://www.wikidata.org/wiki/Q67197624,https://monet.1vasiliadi.com/#w1529
1530,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899–1901,66 × 91,музей,Художественный музей Индианаполиса,Indianapolis Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1530.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Claude_-_Charing_Cross_Bridge_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q27895187,https://monet.1vasiliadi.com/#w1530
1531,Мост Чаринг-Кросс (цикл картин Моне),Charing Cross Bridge,,1899,65 × 81,музей,"Музей Тиссена-Борнемисы, Мадрид","Thyssen-Bornemisza Museum, Madrid",Испания,Spain,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1531.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Charing_Cross_Bridge_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q18683967,https://monet.1vasiliadi.com/#w1531
1532,"Мост Чаринг-Кросс, отражения на Темзе","Charing Cross Bridge, Reflections on the Thames","Charing Cross Bridge, reflets sur la Tamise",1899–1901,65 × 100,музей,Балтиморский музей искусств,Baltimore Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1532.webp,https://commons.wikimedia.org/wiki/File:Charing_Cross_Bridge%2C_Reflections_on_the_Thames.jpg,https://www.wikidata.org/wiki/Q67188271,https://monet.1vasiliadi.com/#w1532
1533,"Мост Чаринг-Кросс, проходящие поезда","Charing Cross Bridge, Trains Crossing",,1899–1901,65 × 92,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1533.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1533.png,,https://monet.1vasiliadi.com/#w1533
1534,"Мост Чаринг-Кросс, дым в тумане","Charing Cross Bridge, Smoke in Fog",,1899–1901,73 × 92,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1534.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1534.png,,https://monet.1vasiliadi.com/#w1534
1535,"Мост Чаринг-Кросс, дым в тумане","Charing Cross Bridge, Smoke in Fog","Charing Cross bridge, fumées dans le brouillard, impression",1899–1901,73 × 92,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1535.webp,https://commons.wikimedia.org/wiki/File:Monet_w1535.jpg,https://www.wikidata.org/wiki/Q105099566,https://monet.1vasiliadi.com/#w1535
1536,Мост Чаринг-Кросс. Темза,"Charing Cross Bridge, The Thames","Le pont de Charing Cross, la Tamise",1899–1901,73 × 100,музей,"Художественный музей Ямагаты, Ямагата","Yamagata Museum of Art, Yamagata",Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1536.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_1536.jpg,https://www.wikidata.org/wiki/Q91360810,https://monet.1vasiliadi.com/#w1536
